Github username,Rank,points

anushh23,1,50

Shailesh Tiwari,2,45

hotblooded058,3,40

karankc23,4,35

User,5,30

Sakshi2020037,6,25

Shantanu,7,20

Shashwat Mittal,8,15

diyawaghmare,9,10

Tanushree,10,10

User,11,10

